style,spec,term,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type
Global Macro,model1,MKT-RF,0.1335376392815772,4.539625157414624,1.0382726052883176e-05,180,0.11133240874601413,0.10129096703692964,ols
Global Macro,model1,Liquidity,0.1509197329411109,0.6136385181170572,0.5402420292532949,180,0.11133240874601413,0.10129096703692964,ols
Global Macro,model2,Intercept,0.003466968589219319,2.9346160875116136,0.0037985336008739077,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,MKT-RF,0.13825954084542383,4.758919926750068,4.123262573895704e-06,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,SMB,0.03443154176182683,1.0657773416282397,0.2880268022343044,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,DTERM,-0.013375839944561409,-2.349685613748377,0.01993080446593711,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,DCREDIT,-0.014912597298397912,-1.643484839054545,0.10212005205678695,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,PTFSBD,-0.011678870868228067,-1.4478842360446686,0.1494803938830237,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,PTFSFX,0.0326973661580383,5.0427006545370805,1.1624173578230264e-06,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,PTFSCOM,0.01748241101645173,1.9258267031265102,0.055784936647073305,180,0.3058309768616325,0.2733552330890773,ols
Global Macro,model2,Liquidity,0.17075691807602736,0.7125371257824038,0.47710334788957076,180,0.3058309768616325,0.2733552330890773,ols
Long/Short Equity,model1,Intercept,0.006163475021683159,5.402004249248853,2.1026551544984313e-07,180,0.681922023717491,0.67832792229057,ols
Long/Short Equity,model1,MKT-RF,0.49119112447186486,18.900634269091775,2.5405707447149285e-44,180,0.681922023717491,0.67832792229057,ols
Long/Short Equity,model1,Liquidity,0.44847171915071915,2.064007228357851,0.04047609662006439,180,0.681922023717491,0.67832792229057,ols
Long/Short Equity,model2,Intercept,0.005984071633856557,6.65997870548721,3.589880331917588e-10,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,MKT-RF,0.4574972156940909,20.705056135300033,1.8388583672945976e-48,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,SMB,0.2625834220403858,10.68690593420649,9.648119877173139e-21,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,DTERM,0.0006503284139324399,0.15020904805053828,0.8807767170938164,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,DCREDIT,-0.0007965056830983256,-0.11541864209311738,0.9082487262103548,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,PTFSBD,-0.002181333703080989,-0.3555738077869904,0.7225980007314287,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,PTFSFX,0.005050941105753281,1.024229763439694,0.30717350133748883,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,PTFSCOM,0.006888067237331221,0.9976723254580648,0.31984795022935353,180,0.8158679944442078,0.8072536316111882,ols
Long/Short Equity,model2,Liquidity,0.3575955148034232,1.9619860834146539,0.05138720122917747,180,0.8158679944442078,0.8072536316111882,ols
Managed Futures,model1,Intercept,0.005597911189656138,1.5939309058868056,0.11423875646159128,99,0.0026251987590880654,-0.018153442933430908,ols
Managed Futures,model1,MKT-RF,-0.033117146841797944,-0.4178338803684866,0.6770016736075569,99,0.0026251987590880654,-0.018153442933430908,ols
