style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Emerging Markets,model2,SMB,0.1882,2.96,0.54,0.52,0.1906731180016455,2.936969753336403,0.0037712158154751887,180,0.5098522201156876,0.4869213298287023,ols,0.0024731180016454857,-0.023030246663596987,-0.030147779884312387,-0.03307867017129773,0.0024731180016454857,0.023030246663596987,True,True,True,True
Emerging Markets,model2,DTERM,-0.0034,-0.3,0.54,0.52,0.001008367179104493,0.08814697002986449,0.9298630089500401,180,0.5098522201156876,0.4869213298287023,ols,0.004408367179104493,0.3881469700298645,-0.030147779884312387,-0.03307867017129773,0.004408367179104493,0.3881469700298645,False,False,False,True
Emerging Markets,model2,DCREDIT,-0.0358,-2.01,0.54,0.52,-0.033324584342557334,-1.8275831502654436,0.06935514426902775,180,0.5098522201156876,0.4869213298287023,ols,0.0024754156574426645,0.18241684973455619,-0.030147779884312387,-0.03307867017129773,0.0024754156574426645,0.18241684973455619,True,True,False,False
Emerging Markets,model2,PTFSBD,-0.0334,-2.08,0.54,0.52,-0.03418254769083765,-2.1088097648482425,0.03641754122268883,180,0.5098522201156876,0.4869213298287023,ols,-0.0007825476908376525,-0.02880976484824238,-0.030147779884312387,-0.03307867017129773,0.0007825476908376525,0.02880976484824238,True,True,True,True
Emerging Markets,model2,PTFSFX,-0.0003,-0.02,0.54,0.52,0.0031496746154566282,0.2417219561654102,0.8092852433106023,180,0.5098522201156876,0.4869213298287023,ols,0.003449674615456628,0.2617219561654102,-0.030147779884312387,-0.03307867017129773,0.003449674615456628,0.2617219561654102,False,False,False,True
Emerging Markets,model2,PTFSCOM,0.0016,0.09,0.54,0.52,0.006307851252566079,0.3457779647540875,0.7299346125693477,180,0.5098522201156876,0.4869213298287023,ols,0.004707851252566079,0.25577796475408754,-0.030147779884312387,-0.03307867017129773,0.004707851252566079,0.25577796475408754,True,False,False,True
Emerging Markets,model2,Liquidity,1.1302,2.41,0.54,0.52,0.9501601587298132,1.9729950613005587,0.05010785103458509,180,0.5098522201156876,0.4869213298287023,ols,-0.1800398412701869,-0.43700493869944146,-0.030147779884312387,-0.03307867017129773,0.1800398412701869,0.43700493869944146,True,True,True,True
Equity Market Neutral,model1,Intercept,0.0044,6.26,0.3,0.29,0.00466812354648522,6.570809384531652,5.398082455010407e-10,180,0.16802911183163782,0.1586283108353852,ols,0.0002681235464852194,0.31080938453165263,-0.13197088816836217,-0.13137168916461478,0.0002681235464852194,0.31080938453165263,True,True,True,True
Equity Market Neutral,model1,MKT-RF,0.0983,6.17,0.3,0.29,0.07279695515407421,4.4986927032686745,1.234670507695725e-05,180,0.16802911183163782,0.1586283108353852,ols,-0.02550304484592579,-1.6713072967313254,-0.13197088816836217,-0.13137168916461478,0.02550304484592579,1.6713072967313254,True,True,True,True
Equity Market Neutral,model1,Liquidity,0.7026,5.16,0.3,0.29,0.44380103878282096,3.2802860187510197,0.0012489016018358188,180,0.16802911183163782,0.1586283108353852,ols,-0.25879896121717905,-1.8797139812489805,-0.13197088816836217,-0.13137168916461478,0.25879896121717905,1.8797139812489805,True,True,True,True
