month,Convertible Arbitrage,Dedicated Short Bias,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Fund of Funds,Global Macro,Long/Short Equity,Managed Futures,Multi-Strategy
1997-04-30,55.0,16.0,129.0,48.0,149.0,55.0,401.0,69.0,437.0,,59.0
1997-05-31,55.0,16.0,134.0,50.0,149.0,56.0,401.0,70.0,440.0,,60.0
1997-06-30,56.0,17.0,136.0,50.0,151.0,55.0,403.0,70.0,449.0,,63.0
1997-07-31,57.0,18.0,137.0,52.0,156.0,59.0,402.0,71.0,461.0,,62.0
1997-08-31,56.0,18.0,137.0,52.0,158.0,59.0,403.0,73.0,463.0,,63.0
1997-09-30,56.0,18.0,137.0,53.0,159.0,60.0,408.0,74.0,473.0,,64.0
1997-10-31,56.0,18.0,144.0,53.0,160.0,60.0,418.0,75.0,477.0,,66.0
1997-11-30,56.0,18.0,145.0,54.0,162.0,60.0,422.0,76.0,481.0,,66.0
1997-12-31,56.0,18.0,147.0,55.0,168.0,61.0,427.0,77.0,482.0,,69.0
1998-01-31,58.0,18.0,147.0,58.0,169.0,61.0,442.0,80.0,510.0,,70.0
1998-02-28,59.0,18.0,144.0,58.0,172.0,63.0,446.0,82.0,521.0,,70.0
1998-03-31,61.0,18.0,146.0,60.0,172.0,65.0,446.0,86.0,522.0,,70.0
1998-04-30,63.0,18.0,146.0,64.0,173.0,64.0,456.0,87.0,525.0,,71.0
1998-05-31,64.0,18.0,148.0,66.0,174.0,68.0,452.0,88.0,527.0,,71.0
1998-06-30,64.0,18.0,155.0,69.0,178.0,67.0,463.0,89.0,536.0,,73.0
1998-07-31,63.0,18.0,153.0,72.0,182.0,68.0,467.0,90.0,556.0,,74.0
1998-08-31,62.0,18.0,148.0,74.0,182.0,66.0,476.0,90.0,564.0,,75.0
1998-09-30,61.0,19.0,146.0,75.0,186.0,64.0,480.0,91.0,568.0,,76.0
1998-10-31,63.0,19.0,145.0,76.0,186.0,63.0,476.0,91.0,570.0,,76.0
1998-11-30,64.0,19.0,146.0,77.0,189.0,64.0,479.0,89.0,574.0,,76.0
1998-12-31,65.0,19.0,147.0,82.0,190.0,64.0,484.0,93.0,580.0,,77.0
1999-01-31,66.0,19.0,148.0,87.0,192.0,68.0,502.0,97.0,612.0,,81.0
1999-02-28,68.0,19.0,149.0,88.0,192.0,68.0,509.0,95.0,616.0,,82.0
1999-03-31,68.0,19.0,149.0,90.0,193.0,69.0,520.0,99.0,620.0,,83.0
1999-04-30,68.0,18.0,153.0,91.0,193.0,70.0,522.0,98.0,625.0,,85.0
1999-05-31,67.0,18.0,152.0,94.0,194.0,71.0,524.0,99.0,632.0,,88.0
1999-06-30,67.0,18.0,152.0,98.0,196.0,70.0,526.0,99.0,639.0,,88.0
1999-07-31,69.0,20.0,156.0,102.0,199.0,70.0,526.0,99.0,647.0,,88.0
1999-08-31,68.0,21.0,157.0,106.0,198.0,70.0,536.0,99.0,654.0,,94.0
1999-09-30,69.0,21.0,159.0,103.0,199.0,70.0,543.0,99.0,659.0,,96.0
1999-10-31,69.0,24.0,160.0,104.0,203.0,72.0,544.0,99.0,668.0,,98.0
1999-11-30,70.0,24.0,166.0,108.0,200.0,72.0,557.0,98.0,684.0,,98.0
1999-12-31,69.0,24.0,167.0,108.0,204.0,71.0,562.0,94.0,694.0,,100.0
2000-01-31,73.0,26.0,166.0,105.0,212.0,70.0,584.0,94.0,724.0,,104.0
2000-02-29,73.0,26.0,165.0,104.0,213.0,70.0,583.0,94.0,727.0,,105.0
2000-03-31,73.0,26.0,167.0,104.0,216.0,69.0,597.0,92.0,739.0,,106.0
2000-04-30,76.0,26.0,166.0,103.0,224.0,67.0,599.0,90.0,751.0,,108.0
2000-05-31,76.0,26.0,165.0,100.0,224.0,68.0,607.0,87.0,759.0,,112.0
2000-06-30,78.0,27.0,165.0,102.0,223.0,69.0,616.0,87.0,772.0,,114.0
2000-07-31,79.0,28.0,163.0,104.0,228.0,70.0,620.0,86.0,788.0,,116.0
2000-08-31,79.0,28.0,159.0,104.0,229.0,72.0,626.0,84.0,794.0,,117.0
2000-09-30,79.0,28.0,159.0,105.0,230.0,74.0,626.0,84.0,807.0,,118.0
2000-10-31,81.0,28.0,161.0,106.0,233.0,71.0,629.0,81.0,832.0,1.0,119.0
2000-11-30,81.0,28.0,164.0,106.0,234.0,71.0,641.0,81.0,836.0,1.0,119.0
2000-12-31,81.0,28.0,164.0,107.0,232.0,73.0,646.0,82.0,835.0,1.0,119.0
2001-01-31,82.0,27.0,159.0,109.0,237.0,77.0,677.0,80.0,857.0,1.0,120.0
2001-02-28,84.0,27.0,160.0,113.0,245.0,79.0,687.0,80.0,863.0,2.0,121.0
2001-03-31,85.0,28.0,159.0,116.0,248.0,78.0,687.0,80.0,867.0,2.0,123.0
2001-04-30,88.0,27.0,158.0,119.0,248.0,80.0,699.0,81.0,872.0,2.0,124.0
2001-05-31,91.0,23.0,158.0,120.0,250.0,81.0,705.0,82.0,880.0,2.0,125.0
2001-06-30,89.0,23.0,156.0,124.0,256.0,86.0,704.0,81.0,890.0,2.0,128.0
2001-07-31,91.0,23.0,154.0,124.0,258.0,87.0,723.0,82.0,901.0,2.0,129.0
2001-08-31,92.0,22.0,152.0,124.0,259.0,88.0,737.0,85.0,905.0,2.0,129.0
2001-09-30,95.0,22.0,152.0,127.0,262.0,88.0,738.0,82.0,912.0,2.0,130.0
2001-10-31,99.0,22.0,151.0,130.0,259.0,90.0,762.0,84.0,926.0,2.0,132.0
2001-11-30,99.0,22.0,151.0,134.0,264.0,92.0,778.0,90.0,934.0,2.0,135.0
2001-12-31,101.0,22.0,151.0,135.0,268.0,91.0,801.0,91.0,939.0,2.0,135.0
2002-01-31,105.0,22.0,147.0,145.0,272.0,98.0,828.0,93.0,958.0,2.0,146.0
2002-02-28,107.0,22.0,148.0,145.0,275.0,99.0,842.0,97.0,960.0,2.0,150.0
2002-03-31,106.0,22.0,150.0,152.0,278.0,99.0,847.0,97.0,967.0,2.0,151.0
2002-04-30,108.0,22.0,150.0,152.0,286.0,101.0,864.0,99.0,972.0,2.0,158.0
2002-05-31,109.0,22.0,151.0,152.0,288.0,104.0,879.0,102.0,989.0,2.0,159.0
2002-06-30,110.0,22.0,150.0,152.0,292.0,105.0,881.0,102.0,982.0,2.0,160.0
2002-07-31,110.0,21.0,152.0,159.0,295.0,106.0,896.0,102.0,991.0,2.0,160.0
2002-08-31,112.0,21.0,153.0,160.0,293.0,107.0,905.0,102.0,993.0,2.0,168.0
2002-09-30,113.0,21.0,152.0,160.0,296.0,108.0,918.0,104.0,1002.0,2.0,169.0
2002-10-31,119.0,21.0,151.0,166.0,301.0,108.0,936.0,108.0,1007.0,2.0,172.0
2002-11-30,119.0,21.0,151.0,168.0,301.0,113.0,940.0,112.0,1006.0,2.0,177.0
2002-12-31,121.0,21.0,156.0,171.0,304.0,112.0,957.0,116.0,1007.0,2.0,179.0
2003-01-31,122.0,22.0,158.0,172.0,305.0,117.0,995.0,123.0,1020.0,2.0,188.0
2003-02-28,123.0,22.0,162.0,173.0,309.0,118.0,1008.0,124.0,1024.0,2.0,189.0
2003-03-31,123.0,24.0,166.0,173.0,317.0,119.0,1011.0,127.0,1032.0,2.0,191.0
2003-04-30,123.0,23.0,169.0,175.0,321.0,117.0,1032.0,131.0,1043.0,2.0,195.0
2003-05-31,125.0,23.0,169.0,178.0,324.0,119.0,1041.0,131.0,1053.0,2.0,200.0
2003-06-30,123.0,24.0,168.0,180.0,327.0,122.0,1050.0,133.0,1070.0,2.0,204.0
2003-07-31,126.0,23.0,170.0,179.0,330.0,124.0,1061.0,136.0,1074.0,2.0,206.0
2003-08-31,127.0,24.0,169.0,180.0,330.0,126.0,1064.0,138.0,1080.0,2.0,204.0
2003-09-30,128.0,24.0,173.0,184.0,332.0,127.0,1085.0,139.0,1087.0,2.0,204.0
